time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1763701325826020600,0.0510205078125,-1.5335289429324677,-0.10814023228391613,-0.6856847237582355,-0.07501069234314418,-0.7179069286139432,-0.05245792815877987,-0.22921019301949172
1763701325836041700,0.061041748046875,-1.5364829321717826,-0.10949575367818627,-0.6865380690145347,-0.07171831490493429,-0.7165939509881387,-0.056295829806648226,-0.23642280750470954
1763701325846062600,0.0710625,-1.5408927351076878,-0.11110892590004964,-0.6878568967927465,-0.06922959425852211,-0.7147809889464889,-0.05996549655769278,-0.24373865739936323
1763701325856083700,0.081083740234375,-1.5459886084804504,-0.11289749957381398,-0.6893757412690248,-0.0678482844437006,-0.7127629909685556,-0.06311964395129942,-0.25057869401165284
1763701325866104600,0.0911044921875,-1.5511566397630896,-0.11478199864673375,-0.6908889196786675,-0.06758294997195334,-0.7107682466593434,-0.0656217021659209,-0.2566496947077634
1763701325876125700,0.101125732421875,-1.5554091123250438,-0.11684322943826052,-0.6920385107062701,-0.06830346725064472,-0.7091315226525774,-0.06754906648733972,-0.26220161432984634
1763701325886146800,0.111146728515625,-1.558245180399044,-0.11920455057878238,-0.6926315079061368,-0.06981566734219899,-0.7080086217669361,-0.06910622441897286,-0.26771237675780735
1763701325896167700,0.121167724609375,-1.5594783180564709,-0.12156594663108386,-0.692656177027491,-0.0712917518949426,-0.7074406342279048,-0.07054695840860692,-0.27311361849055993
1763701325906188800,0.131188720703125,-1.5593389088897396,-0.12299995991603169,-0.6923594917144801,-0.07092844583214866,-0.70731440434999,-0.07221938736451711,-0.277552711509051
1763701325916209700,0.141209716796875,-1.558199997799175,-0.12370410360468023,-0.6918433000240128,-0.06886739286296549,-0.7074864184538601,-0.0742507896721535,-0.2814800642256552
1763701325926230800,0.151230712890625,-1.5559823596909943,-0.12419421353530279,-0.6909901330477707,-0.06671661255742702,-0.7080461082808098,-0.0760201917055815,-0.28476181247830373
1763701325936251600,0.161251708984375,-1.5523243576489643,-0.12472753287273101,-0.6896280432080976,-0.06499638273936072,-0.7091319869130548,-0.07738176949853594,-0.28757312060246704
1763701325946272500,0.1712724609375,-1.5465888320243177,-0.12526567623155913,-0.6875404006935626,-0.06328241662400416,-0.7109363030378257,-0.0785256872451814,-0.2901448236296989
1763701325956293600,0.181293701171875,-1.5387765975402976,-0.1256846543631152,-0.6847444087783641,-0.06145310728388798,-0.7134581107294404,-0.0794112062575152,-0.29223609322168237
1763701325966314800,0.191314697265625,-1.528816750890189,-0.1258412313622509,-0.6812339788779748,-0.059084683339059176,-0.7166971791803961,-0.08018398776064267,-0.2938383919316497
1763701325976336000,0.2013359375,-1.5159745048607993,-0.12589340550702463,-0.6767119185074545,-0.056250696654458816,-0.7208825862053764,-0.08087207360720056,-0.295233148982027
1763701325986356700,0.211356689453125,-1.501919273501437,-0.12542930913565156,-0.6718327901930347,-0.051660103380392994,-0.725370534381929,-0.08213282956208415,-0.2966566179923599
1763701325996377600,0.221377685546875,-1.4847108849132753,-0.12422515756752087,-0.665939296271565,-0.04430635001659647,-0.7307508784697164,-0.08423872332928921,-0.2981486492583283
1763701326006398700,0.231398681640625,-1.4672545171483438,-0.122390175605104,-0.6600337448525891,-0.034896176698723524,-0.7360630758763521,-0.08710432410998785,-0.29962021689136253
1763701326016419600,0.241419677734375,-1.451015715317222,-0.12043162148923779,-0.6545522217682317,-0.024988310457301238,-0.74088073832209,-0.09029565162856756,-0.3011905534118523
1763701326026440700,0.251440673828125,-1.4386620702469386,-0.11857475782051684,-0.6504320485694366,-0.01573543655625792,-0.7444007306386674,-0.09351863784655681,-0.3027951013452213
1763701326036461600,0.261461669921875,-1.4324828978193682,-0.11764293036460025,-0.6483816085208202,-0.00980564522205851,-0.7460227362429999,-0.09597639532023344,-0.3046792997081029
1763701326046482700,0.271482666015625,-1.4328966220202872,-0.11837220216984397,-0.6484411104789963,-0.00912980029642569,-0.7457105740190999,-0.09709716442844374,-0.3072791901185235
1763701326056504800,0.2815048828125,-1.4370674098275245,-0.12076837095618297,-0.6495615255016767,-0.013858383040298806,-0.7444258079894231,-0.09651477597371762,-0.31013873393108543
1763701326066525700,0.291525634765625,-1.4425209937972805,-0.12510279896160206,-0.6507647681652321,-0.024738935707096826,-0.7430131426670511,-0.09373341934727271,-0.31298801927045505
1763701326076546600,0.301546630859375,-1.4485437621279187,-0.13107997783213132,-0.6518094592653766,-0.04096452337957751,-0.7416531860349247,-0.08895535686558342,-0.31560921433636513
1763701326086567700,0.311567626953125,-1.455146783906704,-0.13810070508569405,-0.6527727715161368,-0.061454063587158124,-0.740291918339455,-0.08236419432140997,-0.3172972603185551
1763701326096588500,0.321588623046875,-1.4623669650087232,-0.14508450294346015,-0.6538739118205338,-0.08316339747502632,-0.738764682650464,-0.07500724985792526,-0.3177786280525717
1763701326106609700,0.331609619140625,-1.4695209913095189,-0.1510869307319281,-0.6550897323703669,-0.10299502749697582,-0.7371601486004821,-0.06800775241630018,-0.31714255203906805
1763701326116630800,0.341630859375,-1.4756543702728768,-0.15545066593293402,-0.6562648927126242,-0.11848566231377199,-0.7357108387802723,-0.0622987650485679,-0.315721578111132
1763701326126651600,0.351651611328125,-1.4806528250109132,-0.15857436008365924,-0.6573008727016729,-0.13032833779894779,-0.734488186023746,-0.057766345693167555,-0.3140170401616021
1763701326136672800,0.3616728515625,-1.48435520756585,-0.16115832322289136,-0.6579887428818687,-0.14038400602559453,-0.7336111527755679,-0.05379238337971243,-0.3122962770696667
